customer_id,historical_on_time_ratio,avg_delay_days,repayment_consistency,partial_payment_frequency,prior_delayed_invoice_count,payment_after_followup_count,total_invoices,deterioration_trend,transaction_success_failure_pattern,invoice_acknowledgement_encoded,behavior_class
CUST-BEH-00001,0.7437,11.63,0.379,0.5069,3,0,7,-0.0355,0.133,3,1
CUST-BEH-00002,0.519,13.95,0.4599,0.1179,28,11,50,0.3785,0.2846,0,1
CUST-BEH-00003,0.7231,12.17,0.6278,0.4894,11,23,66,-0.1303,0.2059,0,1
CUST-BEH-00004,0.351,15.08,0.3211,0.2659,2,22,73,-0.3954,0.143,0,1
CUST-BEH-00005,0.18,8.44,0.3081,0.3939,5,5,10,0.3461,0.2531,0,2
CUST-BEH-00006,0.7314,17.24,0.443,0.2179,5,6,15,-0.137,0.1883,0,1
CUST-BEH-00007,0.9778,4.94,0.4276,0.3823,5,10,52,0.4411,0.1277,0,0
CUST-BEH-00008,0.6118,27.96,0.3701,0.2239,35,24,51,0.2836,0.3679,0,5
CUST-BEH-00009,0.4419,48.17,0.9269,0.184,9,2,26,0.3439,0.1266,0,4
CUST-BEH-00010,0.916,0.85,0.6442,0.5728,0,2,12,-0.0798,0.4065,2,0
CUST-BEH-00011,0.48,3.11,0.672,0.1706,18,34,77,0.349,0.4827,0,1
CUST-BEH-00012,0.7456,7.71,0.6721,0.4606,34,26,61,0.4927,0.0776,0,1
CUST-BEH-00013,0.1408,14.44,0.9027,0.2014,0,23,70,0.3288,0.0834,0,4
CUST-BEH-00014,0.9437,1.44,0.8758,0.4273,0,3,13,-0.0842,0.1092,0,0
CUST-BEH-00015,0.3315,23.67,0.3423,0.4114,29,16,50,-0.3159,0.1045,0,3
CUST-BEH-00016,0.7288,20.63,0.5259,0.5325,11,35,73,-0.3629,0.2131,2,3
CUST-BEH-00017,0.9344,1.68,0.6939,0.4748,27,1,49,0.3281,0.065,3,0
CUST-BEH-00018,0.5945,4.9,0.8391,0.7199,14,7,80,-0.0886,0.067,1,3
CUST-BEH-00019,0.5818,21.77,0.4183,0.1748,12,11,22,0.367,0.2535,1,2
CUST-BEH-00020,0.8911,3.89,0.1298,0.1462,9,18,57,-0.1232,0.1128,0,0
CUST-BEH-00021,0.9825,4.44,0.5886,0.1795,1,5,18,0.0027,0.236,1,0
CUST-BEH-00022,0.102,38.25,0.41,0.5162,24,13,46,-0.2244,0.2814,0,3
CUST-BEH-00023,0.663,12.0,0.4241,0.0331,29,2,61,0.4823,0.2533,0,1
CUST-BEH-00024,0.5048,12.9,0.4017,0.33,3,2,7,0.2388,0.3552,0,5
CUST-BEH-00025,0.7853,9.58,0.7522,0.344,1,17,54,0.3418,0.1458,0,1
CUST-BEH-00026,0.7591,19.13,0.6647,0.4992,18,20,79,-0.2066,0.0947,0,3
CUST-BEH-00027,0.5424,26.77,0.5487,0.2608,25,16,47,0.4454,0.7466,0,5
CUST-BEH-00028,0.8135,13.67,0.9603,0.096,4,4,27,0.0538,0.249,1,1
CUST-BEH-00029,0.8347,20.52,0.8369,0.363,16,6,41,0.0319,0.1801,0,1
CUST-BEH-00030,0.7149,13.2,0.3947,0.3706,4,24,52,-0.3488,0.2854,0,1
CUST-BEH-00031,0.5428,15.73,0.303,0.3351,36,23,67,0.3176,0.5809,0,5
CUST-BEH-00032,0.3233,14.28,0.8451,0.4459,17,37,72,-0.2904,0.1696,2,2
CUST-BEH-00033,0.7736,5.49,0.7622,0.1755,35,10,67,0.0106,0.5347,0,1
CUST-BEH-00034,0.6572,23.12,0.7722,0.1865,4,17,36,0.1929,0.1155,0,1
