credit_score,avg_days_to_pay,payment_terms,num_late_payments,log_portfolio,open_invoice_count,overdue_invoice_count,weighted_delay_probability,overdue_ratio,borrower_risk_score_target
610.6,68.56,45.0,68,15.721342632151051,5,3,0.5268392000000001,0.745278810408922,55.0
731.2,36.559999999999995,48.0,30,15.269463801202813,5,0,0.06676760000000001,0.0,15.0
649.4,58.879999999999995,66.0,65,17.60841215501469,5,0,0.16255239999999999,0.0,23.0
738.6,37.660000000000004,54.0,14,16.19496418781606,5,1,0.15811080000000002,0.07417353458653579,19.0
567.2,58.67999999999999,57.0,70,15.171088204220473,5,2,0.3685446,0.055426656354730604,37.0
620.2,56.08,51.0,56,14.397726736475999,5,1,0.23094779999999998,0.435195530726257,33.0
702.4,40.519999999999996,57.0,13,15.821843762304367,5,2,0.2473186,0.3368746637977407,32.0
636.2,51.67999999999999,48.0,61,14.926051746878368,5,1,0.21858739999999996,0.016798418972332016,22.0
618.4,65.0,48.0,45,14.797589404908198,5,1,0.32040199999999996,0.24082397003745318,36.0
676.6,48.839999999999996,81.0,24,16.048424084924605,5,0,0.129718,0.0,17.0
531.0,74.7,54.0,69,15.931645704077024,5,2,0.4731404,0.2614772864200506,51.0
534.4,76.78,30.0,44,15.848908292032746,5,1,0.35681379999999996,0.11151832460732984,35.0
537.2,71.82000000000001,54.0,94,14.852956765753445,5,1,0.2925348,0.4893692416725726,38.0
520.4,68.78,63.0,57,16.663148831254635,5,4,0.6075324,0.9536151214704006,65.0
495.0,82.88,75.0,103,15.822784685696465,5,2,0.4461208,0.1422813381700927,49.0
593.4,63.660000000000004,54.0,69,15.934653586630205,5,2,0.3714636,0.26369533877943296,38.0
648.8,56.15999999999999,51.0,18,16.664597309073955,5,1,0.26078860000000004,0.048286243631310795,31.0
718.4,38.82,51.0,28,16.63742507470747,5,1,0.21205380000000001,0.8283657564400024,34.0
558.2,73.24,60.0,105,15.991965487257096,5,3,0.56402,0.33193420306296084,57.0
583.0,65.2,60.0,23,15.046320308299801,5,1,0.3022256,0.0963785046728972,34.0
530.8,70.0,48.0,83,17.591370161496933,5,2,0.4218970000000001,0.8554600664604102,53.0
763.6,37.019999999999996,57.0,8,16.586785980703663,5,2,0.23326660000000002,0.896301395581701,35.0
533.6,69.7,42.0,103,16.186968608589225,5,3,0.511761,0.3816858022962756,56.0
598.2,63.68000000000001,54.0,67,16.435385140974756,5,1,0.32440579999999997,0.08213193534294452,44.0
700.0,45.06,54.0,14,15.335680221314998,5,0,0.0622826,0.0,11.0
640.2,48.779999999999994,60.0,16,15.223566655484042,5,2,0.289902,0.1379647749510763,36.0
546.4,69.78,54.0,70,17.775618736256728,5,2,0.33676880000000003,0.7700093399157502,45.0
601.2,68.25999999999999,60.0,70,17.726152630343126,5,1,0.3375072,0.8989605655805011,45.0
636.0,56.64,54.0,13,14.748855437640515,5,1,0.2812256,0.031458906802988594,32.0
677.4,47.92,33.0,16,16.886767702967347,5,0,0.10704899999999999,0.0,13.0
632.4,62.040000000000006,42.0,53,15.915244925400842,5,1,0.16400540000000002,0.05585497305242528,17.0
511.8,85.52000000000001,69.0,69,14.989848866183957,5,2,0.34754319999999994,0.530902348578492,45.0
